,returns,lengths,speeds,action_probs,loss
36,38.57812499999997,49.125,18.754823651087165,[1. 0. 0. 0. 0.],0.69068325
37,35.10416666666666,45.0,18.502092176654543,[1. 0. 0. 0. 0.],0.69068325
38,36.390624999999986,46.625,18.55016898514161,[1. 0. 0. 0. 0.],0.69068325
39,24.312499999999993,31.5,17.81938012773987,[1. 0. 0. 0. 0.],0.69068325
40,33.421874999999986,42.875,18.279033730503745,[1. 0. 0. 0. 0.],0.69068325
41,41.74479166666664,53.125,18.832912140019264,[1. 0. 0. 0. 0.],0.69068325
42,37.286458333333314,47.625,18.638750552693182,[1. 0. 0. 0. 0.],0.69068325
43,45.31249999999997,57.5,19.03788103533016,[1. 0. 0. 0. 0.],0.69068325
44,34.71354166666665,44.375,18.43918560220635,[1. 0. 0. 0. 0.],0.69068325
45,36.59374999999998,46.75,18.657511700748223,[1. 0. 0. 0. 0.],0.69068325
46,33.42708333333332,42.75,18.259213764637266,[1. 0. 0. 0. 0.],0.69068325
47,39.567708333333314,50.375,18.78687350435304,[1. 0. 0. 0. 0.],0.69068325
48,39.46874999999998,50.25,18.692878559304447,[1. 0. 0. 0. 0.],0.69068325
49,23.71354166666666,30.875,17.523518458319174,[1. 0. 0. 0. 0.],0.69068325
50,31.843749999999982,40.75,18.10007764559675,[1. 0. 0. 0. 0.],0.69068325
51,29.270833333333314,37.5,17.575745945230956,[1. 0. 0. 0. 0.],0.69068325
52,31.744791666666647,40.625,18.093568999139706,[1. 0. 0. 0. 0.],0.69068325
53,30.55208333333332,39.25,17.882681055570202,[1. 0. 0. 0. 0.],0.69068325
54,45.90624999999997,58.25,19.107556950055105,[1. 0. 0. 0. 0.],0.69068325
55,32.04166666666664,41.0,18.102066509129727,[1. 0. 0. 0. 0.],0.69068325
56,40.26041666666664,51.25,18.68814408713554,[1. 0. 0. 0. 0.],0.69068325
57,28.67187499999999,36.875,18.005421637489306,[1. 0. 0. 0. 0.],0.69068325
58,22.328124999999996,29.125,17.71892909693006,[1. 0. 0. 0. 0.],0.69068325
59,31.052083333333318,39.75,17.93211180513972,[1. 0. 0. 0. 0.],0.69068325
60,38.57812499999998,49.125,18.763896426894306,[1. 0. 0. 0. 0.],0.69068325
61,41.15104166666664,52.375,18.848389620894608,[1. 0. 0. 0. 0.],0.69068325
62,34.41145833333333,44.125,18.552772947544057,[1. 0. 0. 0. 0.],0.69068325
63,35.60416666666665,45.5,18.63785983065378,[1. 0. 0. 0. 0.],0.69068325
64,38.57812499999998,49.125,18.619095596549712,[1. 0. 0. 0. 0.],0.69068325
65,35.10416666666664,45.0,18.308216424133583,[1. 0. 0. 0. 0.],0.69068325
66,32.234374999999986,41.375,18.28259267902569,[1. 0. 0. 0. 0.],0.69068325
67,43.72916666666664,55.5,19.02228281233917,[1. 0. 0. 0. 0.],0.69068325
68,38.57291666666665,49.25,18.642495892264314,[1. 0. 0. 0. 0.],0.69068325
69,31.645833333333314,40.5,17.876228010766585,[1. 0. 0. 0. 0.],0.69068325
